X,Y,OBJECTID,DATE_,SITE,PROBE,TEMP_C,CONDUCTIVI,SP_CONDUCT,SALINITY,DISS_OXYGE,COMMENTS,UTM_E,UTM_N
-12918978.9415,3962128.9618,325,2006/01/06 00:00:00+00,Whitewater River,4.0,15.1,45.1,55.7,44.5,4.3, ,587948,3707343
-12917367.5293,3952583.1879,326,2006/01/11 00:00:00+00,North Desert Shores,4.0,15.3,45.0,55.3,44.0,6.9, ,589366,3699424
-12908343.5215,3941190.3219,327,2006/01/11 00:00:00+00,The Dome,4.0,15.4,45.6,55.9,44.7,8.6, ,596997,3690022
-12908343.5215,3941190.3219,328,2006/01/12 00:00:00+00,The Dome,4.0,15.5,46.0,56.7,45.7,8.6, ,596997,3690022
-12917367.5293,3952583.1879,329,2006/01/12 00:00:00+00,North Desert Shores,4.0,14.9,45.2,56.1,44.9,7.0, ,589366,3699424
-12895737.4548,3952891.3244,330,2006/01/17 00:00:00+00,Bat Caves,4.0,15.3,46.0,56.5,45.4,5.9, ,607427,3699864
-12886715.1589,3942739.9842,331,2006/01/17 00:00:00+00,The Cliffs,4.0,14.9,45.0,55.9,44.7,7.3, ,615062,3691509
-12895737.4548,3952891.3244,332,2006/01/18 00:00:00+00,Bat Caves,4.0,15.3,46.3,56.9,45.9,7.9, ,607427,3699864
-12886715.1589,3942739.9842,333,2006/01/18 00:00:00+00,The Cliffs,4.0,15.0,45.5,56.3,45.2,8.2, ,615062,3691509
-12870894.0266,3935316.5046,334,2006/01/24 00:00:00+00,North Wister,4.0,13.3,42.5,54.8,43.4,8.4, ,628368,3685497
-12870894.0266,3935316.5046,335,2006/01/25 00:00:00+00,North Wister,4.0,13.7,43.1,55.2,43.9,11.9, ,628368,3685497
-12870915.7261,3923476.2963,336,2006/01/25 00:00:00+00,Alamo River,4.0,14.0,43.7,55.4,44.1,8.2, ,628480,3675635
-12870915.7261,3923476.2963,337,2006/01/26 00:00:00+00,Alamo River,4.0,14.1,43.2,54.7,43.3,7.0, ,628480,3675635
-12879300.2081,3913176.1348,338,2006/01/26 00:00:00+00,New River,4.0,13.8,43.7,55.5,44.2,9.5, ,621567,3666958
-12879300.2081,3913176.1348,339,2006/01/27 00:00:00+00,New River,4.0,14.2,43.5,55.0,43.6,11.9, ,621567,3666958
-12898906.8272,3931692.0641,340,2006/02/01 00:00:00+00,South Salton City,4.0,15.7,43.4,52.9,41.2,13.3, ,604971,3682198
-12894448.6437,3919637.7002,341,2006/02/01 00:00:00+00,Test Base,4.0,15.8,45.1,54.9,43.5,13.0, ,608813,3672196
-12898906.8272,3931692.0641,342,2006/02/02 00:00:00+00,South Salton City,4.0,15.4,44.3,54.3,42.8,14.2, ,604971,3682198
-12894448.6437,3919637.7002,343,2006/02/02 00:00:00+00,Test Base,4.0,15.7,45.6,55.6,44.3,16.4, ,608813,3672196
-12870894.0266,3935316.5046,344,2006/04/06 00:00:00+00,North Wister,4.0,18.3,46.0,52.4,40.6,8.3, ,628368,3685497
-12886715.1589,3942739.9842,345,2006/04/06 00:00:00+00,The Cliffs,4.0,17.5,49.7,58.1,47.4,9.8, ,615062,3691509
-12870894.0266,3935316.5046,346,2006/04/07 00:00:00+00,North Wister,4.0,19.4,48.8,54.8,43.4,13.1, ,628368,3685497
-12886715.1589,3942739.9842,347,2006/04/07 00:00:00+00,The Cliffs,4.0,19.5,50.1,56.0,44.8,13.4, ,615062,3691509
-12918978.9415,3962128.9618,348,2006/04/11 00:00:00+00,Whitewater River,4.0,19.0,52.1,59.0,48.6,7.3, ,587948,3707343
-12917367.5293,3952583.1879,349,2006/04/11 00:00:00+00,North Desert Shores,4.0,18.5,50.1,57.2,46.3,8.3, ,589366,3699424
-12918978.9415,3962128.9618,350,2006/04/12 00:00:00+00,Whitewater River,4.0,20.5,53.9,58.3,47.7,12.8, ,587948,3707343
-12917367.5293,3952583.1879,351,2006/04/12 00:00:00+00,North Desert Shores,4.0,20.1,53.0,58.5,48.0,12.7, ,589366,3699424
-12898906.8272,3931692.0641,352,2006/04/13 00:00:00+00,South Salton City,4.0,19.3,52.1,58.5,48.0,10.4, ,604971,3682198
-12908343.5215,3941190.3219,353,2006/04/13 00:00:00+00,The Dome,4.0,20.3,52.8,58.0,47.3,11.7, ,596997,3690022
-12898906.8272,3931692.0641,354,2006/04/14 00:00:00+00,South Salton City,4.0,22.0,55.1,58.4,47.8,12.6, ,604971,3682198
-12908343.5215,3941190.3219,355,2006/04/14 00:00:00+00,The Dome,4.0,22.7,55.1,57.6,46.8,12.8, ,596997,3690022
-12895737.4548,3952891.3244,356,2006/04/19 00:00:00+00,Bat Caves,4.0,20.1,53.4,58.8,48.3,11.4, ,607427,3699864
-12906353.2527,3964286.9348,357,2006/04/19 00:00:00+00,North Shore,4.0,18.7,50.9,58.0,47.3,7.2, ,598465,3709237
-12895737.4548,3952891.3244,358,2006/04/20 00:00:00+00,Bat Caves,4.0,21.6,54.5,57.8,47.1,15.1, ,607427,3699864
-12906353.2527,3964286.9348,359,2006/04/20 00:00:00+00,North Shore,4.0,21.3,54.3,58.5,48.0,13.7, ,598465,3709237
-12870915.7261,3923476.2963,360,2006/04/24 00:00:00+00,Alamo River,4.0,19.4,48.0,54.0,42.4,10.5, ,628480,3675635
-12870915.7261,3923476.2963,361,2006/04/25 00:00:00+00,Alamo River,4.0,19.5,51.5,57.5,46.7,8.1, ,628480,3675635
-12879300.2081,3913176.1348,362,2006/04/27 00:00:00+00,New River,4.0,19.8,51.0,56.7,45.7,10.4, ,621567,3666958
-12879300.2081,3913176.1348,363,2006/04/28 00:00:00+00,New River,4.0,20.0,52.0,57.5,46.7,13.2, ,621567,3666958
-12894448.6437,3919637.7002,364,2006/05/02 00:00:00+00,Test Base,4.0,22.5,55.7,58.5,48.0,13.6, ,608813,3672196
-12894448.6437,3919637.7002,365,2006/05/03 00:00:00+00,Test Base,4.0,22.7,56.6,58.7,48.2,11.1, ,608813,3672196
-12906353.2527,3964286.9348,366,2006/07/06 00:00:00+00,North Shore,4.0,32.3,64.0,56.1,44.9,7.8, ,598465,3709237
-12918978.9415,3962128.9618,367,2006/07/06 00:00:00+00,Whitewater River,4.0,32.7,62.5,54.5,43.0,6.8, ,587948,3707343
-12906353.2527,3964286.9348,368,2006/07/07 00:00:00+00,North Shore,4.0,32.3,64.3,56.4,45.3,10.8, ,598465,3709237
-12918978.9415,3962128.9618,369,2006/07/07 00:00:00+00,Whitewater River,4.0,32.9,65.3,56.6,45.6,4.8, ,587948,3707343
-12917367.5293,3952583.1879,370,2006/07/10 00:00:00+00,North Desert Shores,4.0,31.4,63.9,57.0,46.1,2.3, ,589366,3699424
-12908343.5215,3941190.3219,371,2006/07/10 00:00:00+00,The Dome,4.0,31.4,64.3,57.3,46.4,5.3, ,596997,3690022
-12917367.5293,3952583.1879,372,2006/07/11 00:00:00+00,North Desert Shores,4.0,31.4,63.3,56.5,45.4,0.3, ,589366,3699424
-12908343.5215,3941190.3219,373,2006/07/11 00:00:00+00,The Dome,4.0,30.6,63.2,57.0,46.1,3.6, ,596997,3690022
-12895737.4548,3952891.3244,374,2006/07/12 00:00:00+00,Bat Caves,4.0,32.5,65.3,56.9,45.9,5.7, ,607427,3699864
-12886715.1589,3942739.9842,375,2006/07/12 00:00:00+00,The Cliffs,4.0,31.7,63.3,56.2,45.1,2.4, ,615062,3691509
-12895737.4548,3952891.3244,376,2006/07/13 00:00:00+00,Bat Caves,4.0,32.7,65.9,57.4,46.6,4.8, ,607427,3699864
-12886715.1589,3942739.9842,377,2006/07/13 00:00:00+00,The Cliffs,4.0,32.7,65.3,56.9,45.9,5.6, ,615062,3691509
-12870915.7261,3923476.2963,378,2006/07/17 00:00:00+00,Alamo River,4.0,31.4,62.4,55.6,44.3,1.4, ,628480,3675635
-12870894.0266,3935316.5046,379,2006/07/17 00:00:00+00,North Wister,4.0,33.3,64.1,55.3,44.0,6.2, ,628368,3685497
